transaction_id,customer_id,items_total,total_amount,order_date
489564,13526,326,322.9,2023-01-23
489566,17742,35,218.55,2023-09-26
489567,15326,150,307.8,2023-11-20
489569,14478,312,282.28,2023-04-24
489571,15967,50,156.71,2023-11-15
489572,17611,273,507.49,2023-01-13
489573,15051,306,580.02,2023-09-30
489574,13097,309,544.73,2023-09-16
489575,13590,300,367.28,2023-08-14
489576,15984,178,319.66,2023-05-11
489579,16887,177,219.82,2023-03-18
489580,12921,276,261.0,2023-09-14
489581,15945,137,124.83,2023-07-23
489582,14543,125,293.95,2023-09-06
489584,18037,1,21.95,2023-07-05
489585,15662,67,105.85,2023-04-09
489586,15380,98,263.42,2023-09-28
489590,13110,87,362.78,2023-12-19
489593,12836,93,407.97,2023-02-23
489594,15005,180,319.38,2023-05-26
489598,16620,575,822.37,2023-01-31
489599,12758,1403,2454.68,2023-05-18
489606,17961,1,2.1,2023-08-13
489611,15601,1,2.95,2023-11-21
489613,13585,1,12.75,2023-04-26
489617,13442,42,198.0,2023-05-15
489634,13381,12,17.4,2023-07-15
489635,16763,173,352.85,2023-05-10
489637,17243,157,535.9,2023-01-02
489639,14865,48,31.2,2023-11-13
489640,17345,600,329.91,2023-07-26
489641,13819,462,622.1,2023-11-26
489644,15808,297,857.54,2023-03-01
489645,17191,97,261.74,2023-03-11
489650,13748,90,173.1,2023-07-25
489652,15265,146,294.14,2023-11-19
489654,15750,115,222.12,2023-12-27
489656,17428,401,1237.3,2023-11-16
489657,17428,32,55.2,2023-04-12
489658,15485,249,828.09,2023-02-14
489661,17246,34,23.48,2023-03-23
489662,15485,25,73.75,2023-05-02
489664,14061,57,374.43,2023-05-18
489665,14108,118,252.3,2023-07-04
489666,13648,203,263.09,2023-09-10
489667,16563,221,538.46,2023-07-30
489668,16701,198,378.12,2023-04-11
489669,12842,168,397.2,2023-07-10
489670,14302,28,114.6,2023-06-16
489671,14135,966,740.3,2023-09-23
489672,14831,421,772.65,2023-10-22
489673,14831,34,61.1,2023-04-02
489674,15602,266,261.3,2023-03-04
489675,13777,1930,4939.22,2023-06-30
489676,13777,840,1210.8,2023-04-29
489677,14000,48,192.0,2023-06-16
489678,16823,113,189.3,2023-05-06
489679,16163,280,795.98,2023-10-17
489680,17193,36,45.0,2023-09-24
489681,17998,183,89.59,2023-04-18
489682,15759,303,125.73,2023-02-01
489683,16131,721,1317.97,2023-11-03
489684,14560,116,266.6,2023-10-27
489687,17087,113,221.53,2023-10-19
489688,14894,54,299.7,2023-05-21
489695,16202,121,306.95,2023-08-14
489699,16700,238,401.7,2023-11-12
489702,17511,2020,3108.64,2023-03-29
489705,16700,4,17.0,2023-05-02
489723,14299,1339,2052.12,2023-11-20
489725,17949,300,216.0,2023-12-13
489726,17949,200,750.0,2023-08-03
489727,17949,450,900.0,2023-11-29
489728,14799,349,180.45,2023-06-27
489733,15311,48,168.0,2023-04-20
489743,16550,320,538.77,2023-08-29
489748,12980,84,754.2,2023-02-25
489764,14425,82,223.1,2023-02-12
489765,15353,88,271.74,2023-04-22
489766,17818,86,124.78,2023-12-20
489780,13654,90,159.98,2023-11-15
489782,17189,147,228.36,2023-10-26
489783,13269,152,162.04,2023-09-08
489784,13269,48,40.8,2023-07-10
489785,14653,248,333.09,2023-10-12
489786,17019,197,212.66,2023-02-28
489787,15542,116,293.19,2023-04-11
489788,13564,38,119.16,2023-06-12
489789,15833,24,80.4,2023-10-26
489790,16467,88,131.12,2023-07-06
489791,15542,87,216.59,2023-05-22
489792,14527,165,923.79,2023-08-22
489793,17476,124,260.36,2023-07-05
489794,15287,55,58.2,2023-10-27
489795,14440,287,935.01,2023-05-25
489796,15680,268,311.5,2023-01-06
489797,15581,141,196.88,2023-09-25
489798,13740,93,296.69,2023-03-06
489800,17768,502,382.57,2023-06-15
489801,12948,144,128.48,2023-03-29
489802,15581,156,174.52,2023-04-06
489804,14667,185,251.17,2023-02-10
489805,17377,227,454.35,2023-11-07
489807,15581,241,180.13,2023-08-12
489808,14467,82,109.84,2023-09-01
489809,13457,68,112.5,2023-10-22
489810,18108,165,493.25,2023-09-08
489811,16210,515,634.29,2023-10-04
489812,17377,85,597.69,2023-10-21
489814,14669,503,811.53,2023-07-30
489815,17909,35,110.05,2023-09-08
489816,16086,258,284.55,2023-08-26
489817,16711,132,340.2,2023-08-22
489818,16233,102,294.3,2023-03-29
489819,14739,465,618.43,2023-01-12
489822,14204,103,371.27,2023-12-14
489823,17606,42,87.3,2023-08-10
489824,16797,127,176.88,2023-09-19
489825,16126,106,174.1,2023-09-22
489826,17867,17,85.95,2023-07-03
489827,17412,382,445.7,2023-02-10
489829,16525,237,472.47,2023-02-07
489830,13623,240,628.14,2023-08-15
489831,12435,480,1008.0,2023-01-21
489832,14549,121,313.27,2023-11-23
489833,14980,79,150.68,2023-01-27
489834,14106,24,214.8,2023-06-26
489835,15061,280,714.0,2023-10-05
489837,14396,268,507.47,2023-02-09
489840,14122,6,89.7,2023-06-23
489855,16987,56,157.91,2023-07-24
489862,17809,150,734.7,2023-06-21
489863,15917,21,66.82,2023-06-03
489864,14987,79,206.85,2023-12-08
489865,14080,53,234.87,2023-03-08
489866,16200,577,987.73,2023-03-08
489868,15794,248,675.0,2023-04-24
489869,16200,27,39.98,2023-12-24
489870,15523,118,162.1,2023-09-13
489871,15523,274,735.7,2023-12-07
489872,15615,320,632.9,2023-03-20
489873,15615,12,10.2,2023-09-24
489874,18001,144,176.6,2023-12-14
489875,17841,217,525.71,2023-06-04
489876,15917,22,39.85,2023-01-16
489877,13089,162,368.1,2023-11-20
489878,15989,55,140.16,2023-08-13
489879,17660,138,163.47,2023-12-12
489880,13313,552,380.28,2023-09-28
489883,12437,263,578.28,2023-03-30
489884,13313,19,3.61,2023-07-19
489888,14841,660,597.4,2023-04-22
489889,14646,3200,4734.24,2023-06-10
489890,14646,592,976.8,2023-05-25
489891,15482,144,181.08,2023-05-14
489893,16156,98,300.1,2023-07-09
489894,17716,396,520.2,2023-03-07
489895,12779,266,371.82,2023-01-27
489896,13611,227,337.93,2023-09-21
489897,15255,176,260.44,2023-10-24
489900,14771,253,287.37,2023-10-10
489902,14838,18,119.1,2023-09-28
489904,13979,150,203.78,2023-12-06
489905,13800,242,478.7,2023-06-23
489906,14483,96,120.0,2023-03-10
489907,14915,104,202.06,2023-08-19
489908,16301,41,107.33,2023-11-02
489909,13753,428,642.2,2023-10-11
489910,15482,288,144.0,2023-06-21
489912,13931,578,1146.1,2023-06-29
489913,13931,16,69.6,2023-08-09
489914,12921,508,993.0,2023-04-21
489915,17035,36,54.6,2023-11-19
489916,15194,212,336.0,2023-07-04
489932,14347,48,82.6,2023-02-26
489935,12934,31,181.65,2023-07-02
489994,15291,142,430.9,2023-02-13
489996,17209,514,320.4,2023-03-03
489998,15658,95,321.65,2023-01-05
489999,17314,72,154.2,2023-03-09
490000,17155,89,143.06,2023-04-28
490001,15965,94,169.5,2023-02-05
490002,17322,115,114.55,2023-04-07
490003,16159,163,317.55,2023-05-13
490004,14051,224,912.56,2023-11-19
490005,13993,203,556.75,2023-01-27
490006,17411,150,344.4,2023-02-11
490008,15768,256,502.28,2023-12-03
490009,12835,100,285.09,2023-05-24
490010,15061,480,1008.0,2023-05-01
490011,16918,138,221.69,2023-10-05
490012,15179,339,763.35,2023-03-26
490013,17069,395,500.55,2023-05-31
490014,15466,406,740.46,2023-10-21
490017,14159,267,393.65,2023-12-01
490018,17940,17520,4380.0,2023-02-21
490019,17581,116,308.6,2023-06-20
490020,17581,14,37.8,2023-08-27
490021,17581,12,10.2,2023-09-04
490022,17581,24,45.6,2023-05-06
490023,16168,49,189.15,2023-03-21
490024,14606,121,215.0,2023-06-06
490034,17287,30,69.82,2023-11-01
490045,17287,109,180.39,2023-05-13
490046,13416,66,228.3,2023-04-13
490047,17913,131,263.85,2023-05-26
490048,16779,681,1146.71,2023-10-16
490049,15794,40,102.0,2023-12-14
490050,17913,2,13.5,2023-08-08
490052,13895,408,831.0,2023-06-24
490053,14057,101,119.54,2023-06-17
490054,17017,186,277.5,2023-02-20
490056,13208,56,61.12,2023-04-22
490057,17465,184,360.52,2023-03-04
490058,17465,27,47.85,2023-09-02
490059,18102,4825,14475.0,2023-02-06
490060,13468,148,314.22,2023-09-06
490061,18102,2000,4000.0,2023-07-18
490062,13485,86,165.3,2023-04-03
490063,17271,113,204.3,2023-11-09
490064,16139,215,355.59,2023-03-31
490065,15061,600,1260.0,2023-10-10
490066,15953,212,372.2,2023-12-29
490067,15856,412,952.61,2023-05-01
490068,13085,90,284.3,2023-07-24
490069,13085,60,161.4,2023-04-18
490070,14967,68,236.25,2023-05-17
490071,16497,111,294.85,2023-11-07
490072,17764,69,187.15,2023-03-24
490073,14905,172,258.1,2023-08-09
490075,18229,84,381.0,2023-08-24
490077,17293,65,115.51,2023-12-25
490078,17853,159,584.35,2023-01-09
490079,15550,85,160.35,2023-04-11
490080,13531,126,311.7,2023-09-05
490081,13786,323,723.09,2023-11-09
490082,14952,262,337.9,2023-11-09
490083,14031,1132,2506.14,2023-02-08
490085,12937,108,170.06,2023-06-14
490086,17949,432,799.2,2023-08-28
490087,15601,668,898.18,2023-07-01
490088,15581,2,17.0,2023-04-14
490089,17949,252,466.2,2023-04-14
490090,15581,23,41.18,2023-02-25
490091,17949,600,636.0,2023-01-22
490092,16612,297,510.87,2023-08-03
490093,12949,896,1794.7,2023-01-26
490094,17949,504,851.76,2023-10-14
490095,14958,54,186.36,2023-11-19
490097,17329,144,273.52,2023-12-15
490099,16736,526,1225.98,2023-02-14
490100,13001,403,869.93,2023-12-23
490101,14644,150,338.5,2023-03-23
490106,14898,275,314.37,2023-09-05
490107,14662,30,110.7,2023-03-21
490108,17414,444,239.68,2023-03-29
490109,14755,204,415.0,2023-05-17
490110,14755,13,30.15,2023-02-10
490111,17576,220,319.96,2023-05-25
490112,13037,161,313.19,2023-02-11
490113,14710,16,39.2,2023-01-14
490114,18168,160,257.62,2023-09-15
490115,17679,316,342.6,2023-12-15
490116,17679,48,122.4,2023-11-18
490118,17851,151,317.04,2023-01-09
490119,12931,75,108.75,2023-05-01
490121,14750,65,112.03,2023-06-02
490124,16791,106,304.92,2023-03-31
490125,16558,109,297.05,2023-08-05
490127,14156,203,569.18,2023-12-23
490128,15884,150,236.7,2023-08-21
490132,17343,89,197.3,2023-12-18
490134,17372,59,151.65,2023-02-03
490135,16003,127,387.87,2023-02-13
490136,17432,69,159.95,2023-06-12
490137,14713,104,160.69,2023-01-27
490138,16722,198,339.78,2023-10-16
490139,12577,79,210.55,2023-01-24
490140,12872,227,407.22,2023-02-10
490141,15755,158,308.75,2023-08-20
490142,14258,356,1261.0,2023-03-17
490143,14286,1687,1610.52,2023-11-04
490144,13154,152,337.1,2023-12-26
490145,14564,439,989.18,2023-06-11
490147,13408,472,510.64,2023-08-27
490151,16645,117,160.39,2023-01-09
490152,12714,238,682.65,2023-07-05
490154,16335,110,288.79,2023-05-29
490156,13093,262,455.36,2023-08-14
490157,16736,40,138.0,2023-09-11
490158,12759,281,508.26,2023-01-10
490159,13666,2,19.5,2023-12-13
490160,13777,96,244.8,2023-11-11
490161,17160,653,825.94,2023-07-01
490162,13946,206,280.2,2023-05-31
490163,14723,115,141.63,2023-05-04
490164,14961,632,1058.4,2023-12-11
490166,14735,175,371.85,2023-10-06
490167,18061,241,312.21,2023-09-14
490171,15581,32,29.28,2023-06-03
490202,15078,188,410.0,2023-07-20
490209,17389,484,908.04,2023-03-05
490212,16883,41,108.95,2023-01-11
490214,13175,201,319.15,2023-07-11
490218,17076,48,67.68,2023-04-23
490219,13948,63,155.65,2023-05-27
490229,18223,713,1185.16,2023-01-06
490247,16192,208,351.3,2023-12-29
490258,15999,24,20.4,2023-07-26
490266,15109,50,231.2,2023-09-17
490272,14680,272,519.89,2023-02-25
490277,18092,600,1077.6,2023-11-02
490279,16891,154,297.68,2023-01-01
490281,13481,148,311.2,2023-09-18
490282,13807,43,107.95,2023-08-22
490284,14979,209,429.66,2023-07-22
490285,16656,210,373.74,2023-04-18
490286,14527,147,762.1,2023-03-14
490287,16746,218,367.1,2023-08-03
490288,17157,112,332.16,2023-05-04
490289,15309,143,273.75,2023-03-30
490290,16325,85,164.03,2023-02-13
490291,16541,173,424.03,2023-01-24
490292,16723,150,426.43,2023-01-24
490293,16699,130,137.4,2023-01-10
490294,16710,298,378.96,2023-05-08
490295,12510,504,435.88,2023-09-14
490297,13162,328,694.2,2023-12-18
490298,15382,954,1523.2,2023-06-19
490299,13680,192,618.27,2023-11-20
490300,12970,172,237.99,2023-06-13
490301,15311,93,345.27,2023-10-02
490302,17841,126,300.32,2023-02-12
490303,17935,55,106.25,2023-04-23
490304,17593,339,843.01,2023-01-13
490305,17243,289,726.57,2023-07-02
490308,12835,85,194.53,2023-12-20
490310,17151,42,231.9,2023-08-24
490311,16451,201,307.65,2023-12-28
490312,17961,352,326.13,2023-01-06
490313,17127,49,137.95,2023-09-02
490320,13694,1327,867.89,2023-05-03
490323,14087,200,235.44,2023-01-19
490324,13694,320,672.0,2023-09-27
490326,13733,62,149.1,2023-01-09
490327,13694,600,990.0,2023-01-15
490331,18181,115,298.99,2023-10-23
490340,13174,363,630.39,2023-09-15
490341,13329,270,334.65,2023-04-16
490342,17421,96,130.8,2023-10-30
490346,16351,156,216.6,2023-05-16
490347,15684,68,109.4,2023-06-21
490349,17884,9,32.25,2023-12-11
490353,15514,378,494.63,2023-12-09
490355,13093,287,538.11,2023-04-30
490356,17884,103,117.13,2023-01-20
490359,18225,10,59.5,2023-12-14
490360,13679,34,126.8,2023-10-23
490362,12748,199,205.35,2023-01-11
490363,13199,192,138.24,2023-05-05
490364,13487,25,103.95,2023-02-24
490365,17018,120,351.6,2023-08-31
490366,18071,147,227.25,2023-01-10
490367,16593,8,79.6,2023-06-13
490368,14238,18,159.1,2023-02-08
490369,15223,44,230.2,2023-09-23
490370,17593,177,452.95,2023-07-10
490371,13021,185,233.71,2023-09-04
490372,17115,95,434.15,2023-04-05
490373,17850,146,502.54,2023-03-10
490374,14239,65,136.75,2023-01-03
490375,13999,185,350.55,2023-04-12
490376,13958,389,796.55,2023-01-29
490377,13958,12,15.0,2023-05-09
490378,13641,134,224.1,2023-10-06
490380,17850,142,478.74,2023-11-30
490381,15420,141,97.11,2023-03-27
490382,12359,397,760.69,2023-12-28
490383,12820,50,148.3,2023-09-17
490385,16410,348,130.32,2023-01-05
490386,15240,473,549.77,2023-03-07
490387,17850,130,450.84,2023-06-18
490388,16158,84,146.62,2023-02-26
490389,15484,611,689.5,2023-12-03
490390,14709,104,256.2,2023-11-12
490391,15057,100,304.1,2023-06-21
490392,14867,56,203.32,2023-09-24
490393,17642,281,281.02,2023-09-04
490394,17850,260,870.28,2023-04-13
490395,13813,167,283.15,2023-10-21
490396,13589,77,269.15,2023-02-24
490397,12417,142,309.1,2023-05-10
490398,17920,236,567.71,2023-05-03
490399,12975,115,441.63,2023-11-26
490400,16104,183,689.9,2023-11-19
490401,17150,49,139.25,2023-10-24
490403,17920,135,291.09,2023-11-18
490404,16277,33,188.69,2023-03-28
490405,17244,57,260.65,2023-07-28
490408,17850,128,413.44,2023-01-19
490430,15260,83,253.55,2023-01-03
490458,12583,388,817.44,2023-08-08
490459,15555,414,947.39,2023-03-19
490461,13736,380,710.84,2023-02-27
490463,14133,50,305.5,2023-06-15
490464,15571,43,118.26,2023-04-05
490465,13448,466,918.35,2023-03-24
490466,17085,79,183.6,2023-06-19
490467,15059,169,280.94,2023-03-08
490468,14468,164,204.24,2023-10-31
490470,16395,166,242.96,2023-06-08
490471,15878,71,212.13,2023-08-15
490472,16485,340,619.24,2023-05-12
490473,15860,185,204.65,2023-11-20
490474,13373,336,748.42,2023-12-23
490476,14608,98,211.62,2023-06-25
490477,17850,158,533.14,2023-08-08
490478,14896,128,298.25,2023-11-09
490479,16779,778,1450.2,2023-10-04
490481,16964,5,21.25,2023-01-01
490482,15983,147,289.3,2023-11-27
490483,13782,28,132.4,2023-10-26
490484,16964,44,186.6,2023-01-19
490485,14454,63,125.94,2023-03-02
490486,16779,72,90.0,2023-03-08
490487,14717,32,81.3,2023-07-31
490488,16718,503,647.82,2023-02-23
490489,15751,87,266.19,2023-11-28
490490,14546,312,546.48,2023-11-17
490491,17848,85,175.2,2023-04-25
490493,15751,3,12.75,2023-07-31
490494,17561,80,189.7,2023-05-26
490496,15547,335,666.61,2023-10-11
490499,17406,356,406.7,2023-12-22
490500,14479,188,355.13,2023-01-26
490501,16710,422,283.14,2023-03-13
490502,17969,26,101.4,2023-09-23
490503,14548,207,498.02,2023-06-24
490504,15311,94,385.97,2023-02-23
490505,14548,34,98.16,2023-03-10
490506,17916,47,25.46,2023-04-30
490508,17850,130,450.84,2023-08-31
490511,13319,208,626.6,2023-02-02
490512,14606,85,235.13,2023-11-19
490514,16773,47,137.75,2023-05-31
490515,15479,38,147.4,2023-04-15
490516,17850,146,504.54,2023-05-01
490518,15822,290,474.32,2023-01-18
490519,13890,89,213.65,2023-02-13
490521,13211,102,235.84,2023-07-15
490522,15641,56,150.4,2023-05-03
490524,14123,234,436.18,2023-09-13
490525,13019,92,255.0,2023-01-26
490526,17858,315,533.97,2023-10-08
490527,14940,105,182.01,2023-05-04
490528,16686,49,115.05,2023-11-03
490529,16686,28,48.89,2023-06-29
490530,15691,56,161.8,2023-10-30
490531,16436,95,166.95,2023-10-04
490533,17610,229,368.15,2023-11-22
490534,17530,120,245.63,2023-04-02
490535,17850,182,560.58,2023-11-17
490536,13491,78,221.9,2023-01-15
490537,14003,149,209.41,2023-05-15
490538,17850,146,504.54,2023-07-01
490539,12839,188,346.0,2023-07-06
490542,14911,120,716.35,2023-01-02
490545,17557,4,34.0,2023-09-12
490547,14738,88,311.2,2023-07-03
490548,17850,146,504.54,2023-07-01
490557,16124,318,463.0,2023-03-12
490561,15260,14,41.3,2023-11-19
490563,12471,372,808.12,2023-07-01
490564,12471,132,367.9,2023-10-25
490569,17739,122,411.2,2023-07-15
490577,16556,112,187.19,2023-10-19
490603,14695,145,274.54,2023-05-27
490604,14828,612,682.4,2023-10-29
490605,15115,88,191.74,2023-08-01
490606,17850,98,426.0,2023-02-20
490607,13693,71,173.55,2023-08-26
490608,14955,74,163.77,2023-01-08
490609,14037,166,218.33,2023-04-23
490610,18077,150,211.62,2023-05-14
490611,13905,135,312.65,2023-06-17
490612,17508,441,610.95,2023-11-16
490613,16768,96,224.98,2023-07-01
490616,13984,128,214.8,2023-01-27
490618,13984,22,44.7,2023-09-21
490625,14543,84,339.8,2023-09-26
490636,13564,164,425.09,2023-04-21
490637,13495,236,452.16,2023-01-24
490638,13190,58,147.1,2023-03-17
490640,14408,156,321.0,2023-02-12
490641,17707,60,51.0,2023-10-01
490642,15358,315,446.4,2023-04-13
490653,17044,396,990.48,2023-12-06
490657,14471,119,208.83,2023-05-18
490659,17850,112,380.84,2023-03-06
490665,17436,30,76.5,2023-09-02
490667,13234,118,228.4,2023-07-28
490668,16525,199,312.33,2023-12-07
490669,15716,68,214.17,2023-08-31
490670,14574,63,143.7,2023-12-13
490671,16684,144,488.16,2023-08-19
490672,16684,504,660.96,2023-03-21
490673,14540,62,156.5,2023-04-21
490674,14307,106,242.1,2023-02-22
490675,14695,206,637.14,2023-10-02
490676,17850,122,451.44,2023-07-04
490677,18219,100,151.72,2023-11-17
490678,12747,93,380.65,2023-06-13
490679,18162,332,371.51,2023-07-10
490680,17441,245,293.35,2023-07-27
490681,17988,65,164.75,2023-11-14
490682,12600,68,285.9,2023-06-17
490683,17865,304,413.0,2023-04-26
490684,12523,62,74.56,2023-05-02
490685,13206,996,1028.07,2023-01-27
490686,14512,106,153.28,2023-08-02
490687,14911,325,924.95,2023-04-03
490689,17865,133,307.91,2023-05-17
490690,16353,58,207.9,2023-06-11
490691,16353,72,306.0,2023-07-02
490692,16018,203,195.78,2023-03-23
490693,14670,97,190.47,2023-08-27
490694,13089,408,1244.32,2023-08-06
490695,14590,40,108.4,2023-04-19
490697,17850,112,378.84,2023-08-13
490703,13070,76,154.2,2023-05-20
490704,17457,90,355.38,2023-08-16
490705,12913,80,204.0,2023-03-27
490706,17865,330,1086.53,2023-10-14
490707,17865,70,45.9,2023-11-06
490708,15421,95,241.05,2023-12-02
490709,17884,112,188.89,2023-05-21
490710,17990,84,332.7,2023-05-09
490711,17841,148,448.96,2023-06-21
490712,13148,100,331.4,2023-08-02
490714,17841,1,4.95,2023-11-26
490717,17364,209,449.95,2023-07-02
490718,12443,182,485.31,2023-02-23
490719,13042,441,665.15,2023-04-14
490720,15694,85,357.87,2023-09-20
490722,16717,217,386.39,2023-03-08
490724,13767,306,716.04,2023-03-16
490725,13694,308,343.44,2023-06-27
490726,13694,288,561.6,2023-01-12
490727,17231,147,285.35,2023-08-17
490728,16702,198,221.52,2023-04-08
490733,12540,71,412.6,2023-09-04
490734,13267,105,306.55,2023-11-15
490737,17270,264,389.62,2023-04-01
490738,16436,10,25.5,2023-04-30
490747,13393,3,8.92,2023-06-26
490749,14113,268,580.64,2023-01-27
490750,15369,192,312.96,2023-02-15
490751,12358,309,1429.83,2023-05-14
490752,18259,96,356.4,2023-10-03
490753,17047,215,322.65,2023-06-29
490754,14136,138,302.78,2023-02-24
490755,16735,216,338.34,2023-03-16
490757,14215,221,425.59,2023-10-19
490759,15971,48,182.88,2023-11-28
490760,14295,1,10.0,2023-04-10
490761,13382,123,255.04,2023-12-04
490762,13025,241,323.39,2023-07-19
490763,16013,400,1020.0,2023-05-08
490764,14558,107,306.45,2023-06-22
490767,18002,22,44.32,2023-12-04
490769,16013,180,221.0,2023-07-30
490770,17854,65,135.94,2023-12-24
490782,15079,255,707.93,2023-01-24
490785,16029,984,2590.8,2023-10-18
490786,15079,36,30.6,2023-01-23
490789,18271,89,192.55,2023-02-19
490796,14290,273,870.63,2023-01-13
490797,17268,90,155.7,2023-02-16
490800,14735,12,7.8,2023-10-18
490801,16029,400,660.0,2023-01-08
490802,17067,10,19.5,2023-03-09
490803,17067,148,207.32,2023-04-11
490804,16560,319,487.09,2023-08-30
490805,14861,94,215.0,2023-08-09
490806,13485,13,39.4,2023-11-30
490808,17371,91,134.04,2023-05-01
490809,13408,48,159.0,2023-09-20
490810,13408,128,259.92,2023-11-17
490811,18145,246,309.7,2023-03-05
490817,15311,762,1806.19,2023-08-12
490823,14841,288,304.8,2023-12-10
490834,16400,324,559.98,2023-03-05
490836,17988,2,2.9,2023-12-22
490838,17371,3,20.25,2023-06-03
490846,17155,272,129.3,2023-08-20
490847,15093,371,249.64,2023-11-01
490851,13643,90,311.8,2023-06-21
490855,13777,216,363.6,2023-01-25
490863,17852,59,88.05,2023-08-26
490871,15456,315,211.41,2023-08-19
490881,16210,1,10.0,2023-08-09
490893,13571,76,111.24,2023-03-27
490899,16732,473,792.84,2023-05-24
490905,16940,461,656.85,2023-08-23
490917,15162,74,312.9,2023-10-16
490920,18203,22,109.08,2023-11-15
490921,16163,12,42.3,2023-08-11
490922,14494,30,114.3,2023-02-14
490924,17978,91,123.1,2023-07-14
490925,13078,277,648.5,2023-07-02
490926,15031,121,249.17,2023-06-17
490927,17230,84,304.2,2023-06-01
490928,14085,145,404.44,2023-10-06
490930,13410,48,81.12,2023-07-23
490932,14085,8,12.4,2023-12-28
490933,14063,888,2452.56,2023-10-31
490936,12785,172,366.9,2023-09-03
490937,13081,1376,2285.58,2023-09-17
490938,14605,132,207.65,2023-09-19
490940,14605,1,0.95,2023-10-07
490941,14527,188,628.62,2023-02-15
490944,14285,48,151.2,2023-11-04
490945,16892,21,97.55,2023-03-28
490948,16805,1,15.0,2023-07-17
490953,13204,428,966.66,2023-11-01
490954,15924,103,102.82,2023-04-22
490956,15413,1392,2442.72,2023-09-06
490957,15823,1749,3796.37,2023-04-07
490958,13576,120,328.8,2023-08-26
490959,12682,138,507.9,2023-12-18
490961,14108,174,194.75,2023-10-31
490962,15061,430,683.14,2023-07-24
490964,14646,51,104.15,2023-08-06
490966,17178,100,432.96,2023-01-27
490968,13798,276,484.0,2023-03-23
490971,18275,224,372.64,2023-10-25
490972,14911,413,728.05,2023-12-04
490978,17329,140,193.08,2023-03-20
490981,13855,103,313.45,2023-09-04
490982,17329,4,8.82,2023-04-28
490984,15298,162,303.45,2023-09-03
490989,15674,282,462.46,2023-03-23
490990,14606,102,263.4,2023-01-29
490992,14679,168,438.74,2023-10-22
490998,16253,232,379.13,2023-10-07
490999,13883,2,24.65,2023-08-09
491006,13557,130,272.5,2023-05-27
491007,16204,226,213.27,2023-03-24
491008,15633,87,191.89,2023-08-05
491009,15203,208,255.68,2023-08-06
491010,15194,320,318.0,2023-07-26
491011,16210,213,389.99,2023-11-22
491014,13136,285,549.09,2023-09-27
491024,17157,144,383.04,2023-03-28
491025,17157,96,325.44,2023-06-15
491026,15181,48,162.72,2023-01-17
491033,17188,174,328.02,2023-03-26
491034,13491,122,305.5,2023-07-14
491035,13455,81,295.35,2023-08-21
491038,13097,172,528.9,2023-09-25
491039,15291,60,301.0,2023-03-08
491044,13114,74,234.38,2023-12-19
491045,12747,64,303.2,2023-11-09
491048,13768,262,519.42,2023-06-11
491049,14135,678,748.9,2023-02-12
491050,12712,196,333.8,2023-03-17
491051,14291,261,408.51,2023-02-01
491054,13202,108,320.2,2023-10-24
491055,14732,65,219.55,2023-12-29
491056,17428,358,1007.74,2023-01-09
491057,14239,28,77.8,2023-09-25
491058,16945,193,307.95,2023-04-21
491059,12487,174,285.3,2023-12-10
491060,17929,72,392.4,2023-02-10
491061,13672,81,233.53,2023-07-23
491062,12948,80,124.0,2023-07-31
491063,16771,46,203.3,2023-12-07
491064,16782,66,181.45,2023-03-11
491067,18051,338,333.3,2023-08-04
491068,15768,267,700.4,2023-09-09
